Equipo,Competicion,Jugadores,Media_edad,Posesion,Partidos_disputados,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Equipo,Competicion,Jugadores,Partidos_disputados,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Equipo,Competicion,Jugadores,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Equipo,Competicion,Jugadores,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Equipo,Competicion,Jugadores,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Equipo,Competicion,Jugadores,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Equipo,Competicion,Jugadores,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Equipo,Competicion,Jugadores,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Equipo,Competicion,Jugadores,Posesion,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Equipo,Competicion,Jugadores,Media_edad,Partidos_disputados,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Equipo,Competicion,Jugadores,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,La Liga,29,27.2,45.3,30,330,2700,30.0,33,18,51,27,6,8,85,4,34.7,28.4,20.7,49.0,370,906,1.1,0.6,1.7,0.9,1.5,1.16,0.69,1.84,0.95,1.63,Alavés,La Liga,3,30,30,2699,30.0,44,1.47,113,70,70.8,7,9,14,5,16.7,11,11,0,0,0.0,Alavés,La Liga,3,30.0,44,11,2,4,1,41.4,0.29,-1.6,-0.05,287,683,42.0,705,72,69.4,46.4,245,79.2,56.7,416,28,6.7,23,0.77,12.9,Alavés,La Liga,29,30.0,33,312,99,31.7,10.4,3.3,0.09,0.27,17.6,9,6,8,34.7,28.4,0.09,-1.7,-1.4,Alavés,La Liga,29,30.0,8223,11534,71.3,157061,67149,3533,4285,82.5,3460,4323,80.0,1053,2251,46.8,18,20.7,20.4,-2.7,225,737,179,82,906,Alavés,La Liga,29,30.0,11534,9936,1533,433,32,84,641,643,138,50,61,6,8223,65,279,Alavés,La Liga,29,30.0,551,18.37,367,75,23,33,39,14,53,1.77,37,2,3,6,5,0,Alavés,La Liga,29,30.0,556,349,276,220,60,267,549,48.6,282,302,72,230,252,808,699,9,Alavés,La Liga,29,45.3,30.0,14909,1499,4682,6639,3726,560,14901,388,151,38.9,194,50.0,7174,36682,18584,370,269,79,463,228,8128,896,Alavés,La Liga,29,27.2,30,2700,90,100,30.0,330,81,198,130,22,213,1.0,33,44,-11,-0.37,34.7,37.9,-3.2,-0.11,Alavés,La Liga,29,30.0,85,4,2,489,384,65,641,252,349,5,11,1,1179,515,538,48.9
Angers,Ligue 1,25,28.4,41.6,28,308,2520,28.0,25,14,39,20,5,6,39,2,31.2,26.5,21.3,47.8,416,794,0.89,0.5,1.39,0.71,1.21,1.12,0.76,1.87,0.95,1.71,Angers,Ligue 1,1,28,28,2520,28.0,46,1.64,165,119,73.9,7,6,15,5,17.9,4,3,0,1,0.0,Angers,Ligue 1,1,28.0,46,3,0,7,0,57.1,0.34,11.1,0.4,124,363,34.2,622,156,38.6,35.6,224,54.9,43.0,450,43,9.6,17,0.61,10.6,Angers,Ligue 1,25,28.0,25,257,74,28.8,9.18,2.64,0.08,0.27,18.7,12,5,6,31.2,26.5,0.11,-6.2,-6.5,Angers,Ligue 1,25,28.0,9187,11662,78.8,160417,61230,4181,4743,88.2,3953,4665,84.7,831,1645,50.5,14,21.3,19.3,-7.3,183,640,170,56,794,Angers,Ligue 1,25,28.0,11662,10352,1251,354,48,52,463,502,98,39,42,4,9187,59,211,Angers,Ligue 1,25,28.0,453,16.18,326,34,20,28,26,19,45,1.61,28,2,2,4,7,2,Angers,Ligue 1,25,28.0,518,331,285,164,69,242,494,49.0,252,308,98,210,286,804,741,16,Angers,Ligue 1,25,41.6,28.0,14902,1741,5424,6502,3161,431,14896,531,222,41.8,280,52.7,7853,43196,22143,416,304,86,420,243,9113,785,Angers,Ligue 1,25,28.4,28,2520,90,100,28.0,308,81,176,130,20,122,0.96,26,46,-20,-0.71,31.2,47.6,-16.4,-0.59,Angers,Ligue 1,25,28.0,39,2,0,308,339,59,463,286,331,6,4,0,1172,282,350,44.6
Arsenal,eng Premier League,24,26.5,56.1,31,341,2790,31.0,54,43,97,52,2,2,62,5,48.5,47.0,37.0,84.0,686,1487,1.74,1.39,3.13,1.68,3.06,1.56,1.19,2.76,1.51,2.71,Arsenal,eng Premier League,1,31,31,2790,31.0,26,0.84,100,74,77.0,17,11,3,11,35.5,3,3,0,0,0.0,Arsenal,eng Premier League,1,31.0,26,3,2,4,0,27.0,0.25,1.0,0.03,125,390,32.1,985,137,31.3,29.8,160,51.3,39.2,330,43,13.0,53,1.71,16.7,Arsenal,eng Premier League,24,31.0,54,431,143,33.2,13.9,4.61,0.12,0.36,14.9,8,2,2,48.5,47.0,0.11,5.5,5.0,Arsenal,eng Premier League,24,31.0,13583,16217,83.8,222487,70741,6873,7521,91.4,5606,6322,88.7,857,1678,51.1,43,37.0,36.8,6.0,337,1109,343,61,1487,Arsenal,eng Premier League,24,31.0,16217,14871,1276,358,58,63,649,500,202,185,3,2,13583,70,227,Arsenal,eng Premier League,24,31.0,769,24.81,572,68,39,53,27,10,95,3.06,68,10,4,9,3,1,Arsenal,eng Premier League,24,31.0,504,295,189,214,101,216,430,50.2,214,272,88,184,187,691,547,23,Arsenal,eng Premier League,24,56.1,31.0,19339,1492,4945,8383,6162,1033,19337,612,264,43.1,271,44.3,11223,59772,31622,686,413,231,392,313,13446,1466,Arsenal,eng Premier League,24,26.5,31,2790,90,100,31.0,341,83,225,113,19,166,2.0,56,26,30,0.97,48.5,26.8,21.6,0.7,Arsenal,eng Premier League,24,31.0,62,5,2,349,335,70,649,187,295,2,3,0,1170,407,386,51.3
Aston Villa,eng Premier League,28,27.7,51.2,31,341,2790,31.0,45,36,81,43,2,3,63,2,45.4,43.1,34.5,77.6,592,1078,1.45,1.16,2.61,1.39,2.55,1.47,1.11,2.58,1.39,2.5,Aston Villa,eng Premier League,2,31,31,2790,31.0,46,1.48,127,80,64.6,14,9,8,5,16.1,2,1,1,0,50.0,Aston Villa,eng Premier League,2,31.0,46,1,1,2,0,44.9,0.35,-1.1,-0.03,138,356,38.8,971,106,27.6,29.8,234,37.6,32.4,426,46,10.8,28,0.9,14.2,Aston Villa,eng Premier League,28,31.0,45,386,126,32.6,12.45,4.06,0.11,0.34,16.0,11,2,3,45.4,43.1,0.11,-0.4,-0.1,Aston Villa,eng Premier League,28,31.0,12206,14740,82.8,208370,72056,5621,6235,90.2,5468,6147,89.0,870,1642,53.0,36,34.5,30.4,1.5,288,925,258,49,1078,Aston Villa,eng Premier League,28,31.0,14740,13284,1408,485,71,44,490,421,191,128,19,1,12206,48,290,Aston Villa,eng Premier League,28,31.0,687,22.16,480,73,44,46,31,13,83,2.68,66,5,3,5,3,1,Aston Villa,eng Premier League,28,31.0,528,302,247,206,75,251,448,56.0,197,278,92,186,202,730,632,39,Aston Villa,eng Premier League,28,51.2,31.0,17957,2147,6081,7703,4351,771,17954,620,276,44.5,256,41.3,10178,56335,29486,592,374,174,419,318,11982,1068,Aston Villa,eng Premier League,28,27.7,31,2790,90,100,31.0,341,80,202,139,25,138,1.65,46,46,0,0.0,45.4,42.4,3.0,0.1,Aston Villa,eng Premier League,28,31.0,63,2,1,350,411,48,490,202,302,3,2,0,1161,310,347,47.2
Atalanta,Serie A,32,27.8,55.7,30,330,2700,30.0,61,42,103,57,4,6,56,1,51.3,46.6,36.5,83.1,711,1417,2.03,1.4,3.43,1.9,3.3,1.71,1.22,2.93,1.55,2.77,Atalanta,Serie A,3,30,30,2700,30.0,29,0.97,110,83,74.5,17,7,6,12,40.0,1,1,0,0,0.0,Atalanta,Serie A,3,30.0,29,1,0,3,2,32.5,0.31,5.5,0.18,103,328,31.4,763,140,28.2,24.3,176,64.2,48.3,261,17,6.5,44,1.47,24.5,Atalanta,Serie A,32,30.0,61,438,152,34.7,14.6,5.07,0.13,0.38,15.0,5,4,6,51.3,46.6,0.11,9.7,10.4,Atalanta,Serie A,32,30.0,14087,16864,83.5,244245,77243,6387,7077,90.3,6231,7060,88.3,1194,1985,60.2,42,36.5,36.8,5.5,342,1102,300,90,1417,Atalanta,Serie A,32,30.0,16864,15510,1309,375,39,94,605,557,142,67,51,0,14087,45,268,Atalanta,Serie A,32,30.0,789,26.3,588,64,45,61,20,11,105,3.5,84,4,3,11,3,0,Atalanta,Serie A,32,30.0,471,286,194,214,63,221,400,55.3,179,283,73,210,235,706,498,13,Atalanta,Serie A,32,55.7,30.0,20032,1557,5483,9148,5575,837,20026,503,203,40.4,255,50.7,12403,65434,33683,711,559,193,469,299,13990,1405,Atalanta,Serie A,32,27.8,30,2700,90,100,30.0,330,79,184,146,25,204,1.93,63,29,34,1.13,51.3,30.1,21.2,0.71,Atalanta,Serie A,32,30.0,56,1,1,350,323,45,605,235,286,4,1,2,1399,453,361,55.7
Athletic Club,La Liga,30,27.6,49.3,29,319,2610,29.0,46,36,82,44,2,5,51,3,43.2,39.3,29.5,68.8,548,1262,1.59,1.24,2.83,1.52,2.76,1.49,1.02,2.51,1.35,2.37,Athletic Club,La Liga,3,29,29,2607,29.0,24,0.83,86,62,74.4,14,11,4,9,31.0,3,2,1,0,33.3,Athletic Club,La Liga,3,29.0,24,2,2,3,1,24.7,0.27,1.7,0.06,130,388,33.5,699,119,38.3,31.4,168,71.4,52.5,337,31,9.2,38,1.31,16.4,Athletic Club,La Liga,30,29.0,46,381,127,33.3,13.14,4.38,0.12,0.35,17.4,6,2,5,43.2,39.3,0.11,2.8,4.7,Athletic Club,La Liga,30,29.0,10738,13596,79.0,197789,69997,4417,5083,86.9,5124,5912,86.7,1065,2080,51.2,36,29.5,27.0,6.5,288,1029,217,75,1262,Athletic Club,La Liga,30,29.0,13596,12154,1396,373,36,94,628,647,155,60,60,1,10738,46,230,Athletic Club,La Liga,30,29.0,685,23.62,514,52,45,35,20,19,80,2.76,55,7,6,7,5,0,Athletic Club,La Liga,30,29.0,437,252,175,193,69,218,431,50.6,213,268,45,223,265,702,638,19,Athletic Club,La Liga,30,49.3,29.0,16887,1385,4626,8068,4349,616,16882,593,239,40.3,297,50.1,8746,47188,25731,548,346,152,439,308,10626,1247,Athletic Club,La Liga,30,27.6,29,2610,90,100,29.0,319,80,171,145,23,192,1.83,46,24,22,0.76,43.2,25.9,17.3,0.6,Athletic Club,La Liga,30,29.0,51,3,1,356,301,46,628,265,252,4,3,1,1327,364,386,48.5
Atlético Madrid,La Liga,24,29.2,51.7,29,319,2610,29.0,47,37,84,44,3,4,65,3,46.1,43.1,35.0,78.1,558,1163,1.62,1.28,2.9,1.52,2.79,1.59,1.21,2.8,1.49,2.69,Atlético Madrid,La Liga,2,29,29,2610,29.0,23,0.79,87,66,78.2,16,9,4,13,44.8,4,4,0,0,0.0,Atlético Madrid,La Liga,2,29.0,23,4,0,2,2,18.1,0.17,-2.9,-0.1,95,244,38.9,507,137,28.0,32.0,261,39.1,36.0,400,20,5.0,21,0.72,13.3,Atlético Madrid,La Liga,24,29.0,47,341,119,34.9,11.76,4.1,0.13,0.37,16.9,9,3,4,46.1,43.1,0.13,0.9,0.9,Atlético Madrid,La Liga,24,29.0,13349,16170,82.6,222975,75846,6480,7214,89.8,5351,6132,87.3,1122,1930,58.1,37,35.0,32.9,2.0,251,907,260,70,1163,Atlético Madrid,La Liga,24,29.0,16170,14701,1413,349,51,97,499,612,140,44,51,0,13349,56,308,Atlético Madrid,La Liga,24,29.0,603,20.79,481,36,24,34,15,13,83,2.86,71,0,4,5,1,2,Atlético Madrid,La Liga,24,29.0,470,284,233,177,60,249,498,50.0,249,279,82,197,201,671,624,18,Atlético Madrid,La Liga,24,51.7,29.0,19186,1783,6106,8711,4516,614,19182,487,214,43.9,233,47.8,11567,56921,30211,558,406,115,406,203,13256,1161,Atlético Madrid,La Liga,24,29.2,29,2610,90,100,29.0,319,78,175,142,27,184,1.97,47,23,24,0.83,46.1,27.3,18.8,0.65,Atlético Madrid,La Liga,24,29.0,65,3,0,314,316,56,499,201,284,1,4,2,1213,347,336,50.8
Augsburg,Bundesliga,29,27.5,43.0,28,308,2520,28.0,31,23,54,30,1,2,73,3,26.7,25.1,19.1,44.3,360,917,1.11,0.82,1.93,1.07,1.89,0.95,0.68,1.64,0.9,1.58,Augsburg,Bundesliga,2,28,28,2520,28.0,39,1.39,120,83,70.8,10,9,9,10,35.7,4,4,0,0,0.0,Augsburg,Bundesliga,2,28.0,39,4,1,2,2,38.4,0.3,1.4,0.05,182,466,39.1,788,105,41.1,35.1,236,60.2,45.3,472,19,4.0,32,1.14,13.3,Augsburg,Bundesliga,29,28.0,31,308,92,29.9,11.0,3.29,0.1,0.33,17.5,8,1,2,26.7,25.1,0.08,4.3,4.9,Augsburg,Bundesliga,29,28.0,9119,11924,76.5,168511,66910,3849,4532,84.9,4121,4835,85.2,980,1897,51.7,23,19.1,26.8,3.9,225,708,195,56,917,Augsburg,Bundesliga,29,28.0,11924,10567,1309,340,30,32,467,544,122,42,55,1,9119,48,300,Augsburg,Bundesliga,29,28.0,550,19.64,390,62,28,38,27,5,57,2.04,37,7,5,4,3,1,Augsburg,Bundesliga,29,28.0,395,256,167,176,52,199,362,55.0,163,351,102,249,294,689,814,12,Augsburg,Bundesliga,29,43.0,28.0,15319,1830,5064,6697,3728,540,15317,455,190,41.8,225,49.5,8048,38563,18759,360,282,83,488,239,9041,907,Augsburg,Bundesliga,29,27.5,28,2520,90,100,28.0,308,80,176,129,23,121,1.39,31,39,-8,-0.29,26.7,37.7,-11.0,-0.39,Augsburg,Bundesliga,29,28.0,73,3,2,309,308,48,467,294,256,2,4,2,1211,448,395,53.1
Auxerre,Ligue 1,28,26.6,42.4,27,297,2430,27.0,38,27,65,34,4,5,52,4,35.3,31.6,26.6,58.2,388,883,1.41,1.0,2.41,1.26,2.26,1.31,0.99,2.29,1.17,2.16,Auxerre,Ligue 1,2,27,27,2430,27.0,39,1.44,131,93,74.0,9,8,10,8,29.6,6,5,1,0,16.7,Auxerre,Ligue 1,2,27.0,39,5,0,6,2,42.6,0.3,5.6,0.21,182,567,32.1,751,130,57.0,43.1,189,73.5,53.2,445,26,5.8,41,1.52,15.4,Auxerre,Ligue 1,28,27.0,38,312,123,39.4,11.56,4.56,0.11,0.28,17.3,8,4,5,35.3,31.6,0.1,2.7,2.4,Auxerre,Ligue 1,28,27.0,8478,11055,76.7,156640,61356,3641,4201,86.7,3576,4216,84.8,1029,2014,51.1,27,26.6,19.9,0.4,239,641,171,55,883,Auxerre,Ligue 1,28,27.0,11055,9822,1193,366,26,129,448,461,112,40,54,0,8478,40,226,Auxerre,Ligue 1,28,27.0,571,21.15,422,50,25,34,22,18,69,2.56,43,8,4,6,8,0,Auxerre,Ligue 1,28,27.0,565,343,283,200,82,272,518,52.5,246,328,105,223,277,842,760,13,Auxerre,Ligue 1,28,42.4,27.0,14360,1751,5238,6151,3122,509,14355,504,200,39.7,268,53.2,7695,38906,19276,388,282,104,361,276,8415,879,Auxerre,Ligue 1,28,26.6,27,2430,90,100,27.0,297,83,172,121,17,122,1.3,38,39,-1,-0.04,35.3,45.8,-10.5,-0.39,Auxerre,Ligue 1,28,27.0,52,4,1,327,293,40,448,277,343,4,6,2,1217,350,355,49.6
Barcelona,La Liga,27,25.4,67.3,30,330,2700,30.0,81,59,140,76,5,6,51,3,72.3,67.5,55.4,122.9,685,1715,2.7,1.97,4.67,2.53,4.5,2.41,1.85,4.26,2.25,4.1,Barcelona,La Liga,3,30,30,2700,30.0,29,0.97,85,56,69.4,21,4,5,9,30.0,3,3,0,0,0.0,Barcelona,La Liga,3,30.0,29,3,0,2,0,27.1,0.3,-1.9,-0.06,50,148,33.8,953,149,12.2,24.7,157,20.4,27.5,293,12,4.1,125,4.17,20.3,Barcelona,La Liga,27,30.0,81,506,189,37.4,16.87,6.3,0.15,0.4,17.0,21,5,6,72.3,67.5,0.14,8.7,8.5,Barcelona,La Liga,27,30.0,17233,19945,86.4,291493,91386,7858,8572,91.7,7681,8454,90.9,1253,1927,65.0,59,55.4,52.4,3.6,386,1507,369,60,1715,Barcelona,La Liga,27,30.0,19945,18397,1492,508,103,114,542,566,202,73,40,0,17233,56,300,Barcelona,La Liga,27,30.0,906,30.2,704,42,63,48,40,9,138,4.6,100,3,14,10,10,1,Barcelona,La Liga,27,30.0,415,261,143,189,83,214,401,53.4,187,274,52,222,178,593,476,11,Barcelona,La Liga,27,67.3,30.0,23164,1522,5324,11625,6386,943,23158,733,366,49.9,299,40.8,13917,71463,38628,685,503,182,464,255,17134,1709,Barcelona,La Liga,27,25.4,30,2700,90,100,30.0,330,81,189,140,21,201,2.23,83,29,54,1.8,72.3,31.1,41.2,1.37,Barcelona,La Liga,27,30.0,51,3,1,278,371,56,542,178,261,6,3,0,1293,300,278,51.9
